Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C14, C17, C2, C4, C5, C7, C8, C9",0402,11,100nF,C1525
"C10, C11",0402,2,27pF,C1557
"C15, C16",0402,2,10uF,C15525
"C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36",0805,19,100uF,C15008
"C3, C6",0402,2,1uF,C52923
D1,0805,1,DNF,
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0,C2988369
"R1, R8",0402,2,1k,C106235
"R2, R3",0402,2,DNF,
"R4, R5",0402,2,27 Ohm,C2909343
"R6, R7",0402,2,5.1k,C25905
SW1,TS-1187A-B-A-B,1,SW_Push,C318884
U1,RP2040-QFN-56,1,RP2040,C2040
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q32JVSS,C82344
U3,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,C146799
U4,SOT-23-5,1,SN74LV1T34DBV,C100024
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12.000MHz,C9002
