Designator,Mid X,Mid Y,Rotation,Layer
C1,181.184604,-84.132136,270.0,bottom
C10,187.204404,-87.103936,0.0,bottom
C11,183.369004,-86.443536,90.0,bottom
C12,180.261504,-78.290136,180.0,bottom
C13,181.4068,-71.755,90.0,bottom
C14,182.276804,-84.132136,270.0,bottom
C15,181.5592,-90.2204,0.0,bottom
C16,176.0133,-87.9852,180.0,bottom
C17,170.4848,-67.437,180.0,bottom
C18,159.385,-67.564,0.0,bottom
C19,105.41,-67.3608,225.0,bottom
C2,191.0334,-70.6374,90.0,bottom
C20,105.4608,-125.1712,135.0,bottom
C21,159.3088,-125.0188,0.0,bottom
C22,213.2076,-125.1712,45.0,bottom
C23,213.36,-67.31,135.0,bottom
C24,203.7588,-82.2159,270.0,bottom
C25,203.5341,-117.7036,180.0,bottom
C26,184.4841,-98.6536,180.0,bottom
C27,165.4341,-79.6036,180.0,bottom
C28,165.4341,-117.7036,180.0,bottom
C29,141.5581,-79.6036,0.0,bottom
C3,183.131704,-71.12,180.0,bottom
C30,142.24,-120.7008,90.0,bottom
C31,122.5589,-98.6536,0.0,bottom
C32,103.5089,-117.7036,0.0,bottom
C33,103.5089,-79.6036,0.0,bottom
C34,166.0398,-92.0496,0.0,bottom
C35,156.8704,-92.0496,0.0,bottom
C36,147.7518,-92.0496,0.0,bottom
C4,197.381104,-71.914736,180.0,bottom
C5,186.798004,-71.736936,45.0,bottom
C6,183.131704,-72.2376,180.0,bottom
C7,191.5414,-74.676,0.0,bottom
C8,181.413204,-74.251536,90.0,bottom
C9,190.980304,-78.832236,270.0,bottom
D1,182.937204,-62.389736,180.0,bottom
J1,190.386804,-63.805536,0.0,bottom
R1,199.142404,-73.743536,270.0,bottom
R2,179.95,-63.0,90.0,bottom
R3,199.142404,-80.830136,90.0,bottom
R4,186.019908,-70.889432,45.0,bottom
R5,185.211685,-70.081209,45.0,bottom
R6,184.054804,-67.520536,270.0,bottom
R7,192.1256,-70.658036,90.0,bottom
R8,183.369004,-84.106736,90.0,bottom
SW1,202.342804,-64.345536,180.0,bottom
U1,186.208804,-77.274136,180.0,bottom
U2,195.611804,-77.274136,90.0,bottom
U3,176.5808,-93.370001,270.0,bottom
U4,171.4555,-64.455001,180.0,bottom
Y1,186.170804,-84.704536,180.0,bottom
